Index,AlbumName,Artist,Explicit,Genre,TrackCount
41,Tolerance 0,S-TOOL,explicit,Metal,10
42,The Tool Song - Single,HardNox,notExplicit,Hip-Hop/Rap,1
43,MSQ Performs Tool,Midnite String Quartet,notExplicit,Rock,10
44,Lullaby Versions of Tool V2,Twinkle Twinkle Little Rock Star,notExplicit,Children's Music,12
45,Retooled: the Eclectic Tribute to Tool,Various Artists,notExplicit,Rock,10
46,What It Is (Live @ Jimmy Seas),Big Mouth & The Power Tool Horns,notExplicit,Jazz,11
47,The Tool Factory Project,The Tool Factory Project,notExplicit,Pop,13
48,8-bit tribute to Tool,Chiptune Radio,notExplicit,Electronic,10
49,Night Voyage Tool Kit,Bok Bok & Tom Trago,notExplicit,Electronic,6
50,Satisfied,Big Mouth & The Power Tool Horns,notExplicit,Jazz,13
51,Lover,Taylor Swift,notExplicit,Pop,18
52,1989,Taylor Swift,notExplicit,Pop,14
53,Red,Taylor Swift,notExplicit,Country,17
54,reputation,Taylor Swift,notExplicit,Pop,15
55,Speak Now,Taylor Swift,notExplicit,Country,15
56,Taylor Swift (Bonus Track Version),Taylor Swift,notExplicit,Country,15
57,Fearless (Platinum Edition),Taylor Swift,notExplicit,Country,29
58,The Taylor Swift Holiday Collection - EP,Taylor Swift,notExplicit,Holiday,6
59,Today Was a Fairytale - Single,Taylor Swift,notExplicit,Country,1
60,iTunes Live from SoHo,Taylor Swift,notExplicit,Country,8
61,Speak Now - World Tour Live,Taylor Swift,notExplicit,Country,17
62,1989 (Deluxe Edition),Taylor Swift,notExplicit,Pop,19
63,Speak Now (Deluxe Edition),Taylor Swift,notExplicit,Country,20
64,Red (Deluxe Edition),Taylor Swift,notExplicit,Country,22
65,Delicate (Sawyr and Ryan Tedder Mix) - Single,"Taylor Swift, Sawyr & Ryan Tedder",notExplicit,Pop,1
66,Taylor Swift Karaoke: Red,Taylor Swift,notExplicit,Country,17
67,Taylor Swift Karaoke: 1989,Taylor Swift,notExplicit,Pop,14
68,Delicate (Seeb Remix) - Single,Taylor Swift & Seeb,notExplicit,Pop,1
69,You Need To Calm Down (Clean Bandit Remix) - Single,Taylor Swift,notExplicit,Pop,1
70,Taylor Swift - Single,Tyler Dean,notExplicit,Pop,1
71,Bad Blood (feat. Kendrick Lamar) - Single,Taylor Swift,notExplicit,Pop,1
72,...Ready For It? (BloodPop® Remix) - Single,Taylor Swift & BloodPop®,notExplicit,Pop,1
73,Hollywood's Bleeding,Post Malone,explicit,Hip-Hop/Rap,17
74,beerbongs & bentleys,Post Malone,explicit,Hip-Hop/Rap,18
75,Stoney (Deluxe),Post Malone,explicit,Hip-Hop/Rap,18
76,Hollywood's Bleeding,Post Malone,cleaned,Hip-Hop/Rap,17
77,beerbongs & bentleys,Post Malone,cleaned,Hip-Hop/Rap,18
78,Goodbyes (feat. Young Thug) - Single,Post Malone,explicit,Hip-Hop/Rap,1
79,Wow. - Single,Post Malone,explicit,Hip-Hop/Rap,1
80,Stoney,Post Malone,explicit,Hip-Hop/Rap,14
81,Stoney (Deluxe),Post Malone,cleaned,Hip-Hop/Rap,18
82,Wow. - Single,Post Malone,cleaned,Hip-Hop/Rap,1
83,Goodbyes (feat. Young Thug) - Single,Post Malone,cleaned,Hip-Hop/Rap,1
84,Stoney,Post Malone,cleaned,Hip-Hop/Rap,14
85,Wow. (Remix) [feat. Roddy Ricch & Tyga] - Single,Post Malone,explicit,Hip-Hop/Rap,1
86,Wow. (Instrumental) - Single,Post Malone,notExplicit,Hip-Hop/Rap,1
87,rockstar (Remix) [feat. Nicky Jam & Ozuna] - Single,Post Malone,explicit,Urbano latino,1
88,Congratulations (Remix) [feat. Quavo & Future] - Single,Post Malone,explicit,Hip-Hop/Rap,1
89,Jackie Chan (feat. Preme & Post Malone) - Single,Tiësto & Dzeko,explicit,Dance,1
90,Jackie Chan (feat. Preme & Post Malone) - Single,Tiësto & Dzeko,cleaned,Dance,1
91,Post Malone (feat. RANI) [Joe Stone Remix] - Single,Sam Feldt,notExplicit,Dance,1
92,Came Up (feat. Post Malone & Key!) - Single,"Flosstradamus, FKi1st & graves",explicit,Dance,1
93,What About Me (feat. Post Malone) - Single,Lil Wayne,notExplicit,Hip-Hop/Rap,1
94,"Jackie Chan (feat. Preme & Post Malone) [Remixes, Vol. 1] - EP",Tiësto & Dzeko,explicit,Dance,5
95,Came Up (feat. Post Malone & Key!) [Remixes] - EP,"Flosstradamus, FKi1st & graves",notExplicit,Hip-Hop,4
96,You (feat. Post Malone) - Single,Dynamite Dylan,notExplicit,Pop,1
97,Post Malone (feat. Rani) [Gattüso Remix] - Single,Sam Feldt,notExplicit,Dance,1
98,Post Malone (Workout Remix) - Single,Power Music Workout,notExplicit,Fitness & Workout,2
99,Burning Man (feat. Post Malone) - Single,Andrew Watt,explicit,Alternative,1
100,"Homemade Dynamite (Remix) [feat. Khalid, Post Malone & SZA] - Single",Lorde,explicit,Alternative,1
101,"Jackie Chan (feat. Preme & Post Malone) [Remixes, Vol. 2] - EP",Tiësto & Dzeko,explicit,Dance,6
102,Acoustic Tribute to Post Malone (Instrumental),Guitar Tribute Players,notExplicit,Instrumental,11
103,Post Malone (feat. RANI) [VIZE Remix] - Single,Sam Feldt,notExplicit,Dance,1
104,MCP Performs Post Malone: Beerbongs & Bentleys (Instrumental),Molotov Cocktail Piano,notExplicit,Instrumental,18
105,Post Malone (feat. RANI) [Cat Dealers Remix] - Single,Sam Feldt,notExplicit,Dance,1
106,"Psycho (Originally Performed By Post Malone, Ty Dolla $Ign) - Single [Instrumental Version] - Single",DJ Cover That,notExplicit,Hip-Hop/Rap,1
107,Post Malone (feat. RANI) [Friend Within Remix] - Single,Sam Feldt,notExplicit,Dance,1
108,Post Malone - Single,Outspoken Corboy,explicit,Hip-Hop/Rap,1
109,Post Malone - Single,Kako,explicit,Hip-Hop/Rap,1
110,Lullaby Versions of Post Malone,Twinkle Twinkle Little Rock Star,notExplicit,Children's Music,8
111,AH Performs Post Malone,Acoustic Heartstrings,notExplicit,Rock,8
112,Post Malone - Single,Five,explicit,Hip-Hop/Rap,1
113,Norman F*****g Rockwell!,Lana Del Rey,explicit,Alternative,14
114,Born to Die,Lana Del Rey,explicit,Alternative,14
115,Born to Die (Deluxe Version),Lana Del Rey,explicit,Alternative,17
116,Paradise,Lana Del Rey,explicit,Alternative,10
117,Lust for Life,Lana Del Rey,explicit,Alternative,17
118,Honeymoon,Lana Del Rey,explicit,Alternative,15
119,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix] - Single,Lana Del Rey & Cedric Gervais,notExplicit,Dance,1
120,Ultraviolence (Deluxe),Lana Del Rey,explicit,Alternative,16
121,Don't Call Me Angel (Charlie's Angels) - Single,"Ariana Grande, Miley Cyrus & Lana Del Rey",notExplicit,Soundtrack,1
122,Ultraviolence,Lana Del Rey,explicit,Alternative,12
123,Young and Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit) - Single,Lana Del Rey & Cedric Gervais,notExplicit,Alternative,1
124,Born To Die,Lana Del Rey,cleaned,Alternative,12
125,Doin' Time - Single,Lana Del Rey,explicit,Alternative,1
126,Tropico - Single,Lana Del Rey,explicit,Alternative,4
127,Mariners Apartment Complex - Single,Lana Del Rey,explicit,Alternative,1
128,"Season of the Witch (From the Motion Picture ""Scary Stories to Tell in the Dark"") - Single",Lana Del Rey,notExplicit,Alternative,1
129,hope is a dangerous thing for a woman like me to have - but i have it - Single,Lana Del Rey,explicit,Alternative,1
130,Venice Bitch - Single,Lana Del Rey,explicit,Alternative,1
131,Blue Jeans Omid 16B Remixes,Lana Del Rey,notExplicit,Dance,7
132,Summertime Sadness (Asadinho Remixes) - Single,Lana Del Rey,notExplicit,House,3
133,Looking for America - Single,Lana Del Rey,notExplicit,Alternative,1
134,Blue Jeans (Remixes) - EP,Lana Del Rey,notExplicit,Alternative,6
135,Born To Die - The Paradise Edition,Lana Del Rey,explicit,Alternative,25
136,West Coast (Solomun Remixes) - Single,Lana Del Rey,notExplicit,Electronica,2
137,West Coast (Remix EP),Lana Del Rey,notExplicit,Alternative,4
138,Blue Jeans (Kris Menace Remix) - Single,Lana Del Rey,notExplicit,Electronic,2
139,"Once Upon a Dream (From ""Maleficent""/Young Ruffian Remix) - Single",Lana Del Rey,notExplicit,Dance,1
140,Lust For Life (The Avener Rework) [feat. The Weeknd] - Single,Lana Del Rey & The Avener,notExplicit,Alternative,1
141,Summer Bummer (feat. A$AP Rocky & Playboi Carti) [Clams Casino Remix] - Single,Lana Del Rey & Clams Casino,explicit,Alternative,1
142,Video Games Remixes - EP,Lana Del Rey,notExplicit,Alternative,5
143,Lust for Life (feat. The Weeknd) [BloodPop® Remix] - Single,Lana Del Rey & BloodPop®,notExplicit,Alternative,1
144,Ride (Remixes) - EP,Lana Del Rey,explicit,Alternative,6
145,Blue Velvet - Single,Lana Del Rey,notExplicit,Alternative,1
146,Summertime Sadness (Nick Warren Remixes) - Single,Lana Del Rey,notExplicit,Dance,3
147,Ultraviolence,Lana Del Rey,cleaned,Alternative,12
148,Lana Del Rey - Single,Peter Z,notExplicit,Pop,1
149,Piano Dreamers Instrumental Renditions of Lana Del Rey,Piano Dreamers,notExplicit,Rock,27
150,Lullaby Versions of Lana Del Rey,Twinkle Twinkle Little Rock Star,notExplicit,Children's Music,14
151,Ultraviolence (Deluxe Version),Lana Del Rey,cleaned,Alternative,16
152,Cuz I Love You (Deluxe),Lizzo,explicit,Pop,14
153,Coconut Oil - EP,Lizzo,explicit,Pop,6
154,Cuz I Love You,Lizzo,explicit,Pop,11
155,Cuz I Love You,Lizzo,cleaned,Pop,11
156,Truth Hurts (DaBaby Remix) [feat. DaBaby] - Single,Lizzo,explicit,Pop,1
157,Let 'em Say - Single,Lizzo & Caroline Smith,notExplicit,Pop,1
158,Fitness - Single,Lizzo,notExplicit,Pop,1
159,Boys (Remixes) - EP,Lizzo,notExplicit,Dance,5
160,Good as Hell (Remixes) - EP,Lizzo,explicit,Dance,4
161,"Stayin' Alive (From ""Happy Death Day 2U"") - Single",Lizzo,notExplicit,Soundtrack,1
162,Truth Hurts (CID Remix) - Single,Lizzo,explicit,Dance,1
163,Juice (Breakbot Mix) - Single,Lizzo,explicit,Pop,1
164,Game Recognize Game (feat. Midaz The Beast) - Single,Lizzo & Louieville Sluggah,notExplicit,Hip-Hop/Rap,3
165,Blak Sunset (feat. Midaz Of Blakout) - Single,Lizzo,notExplicit,Hip-Hop/Rap,5
166,Blame It On Your Love (feat. Lizzo) - Single,Charli XCX,explicit,Pop,1
167,Truth Hurts (Originally Performed by Lizzo) (Karaoke Version) - Single,Chart Top Karaoke,notExplicit,Pop,1
168,"Sleepdrone / Superposition (feat. Allan Kingdom, Astronautalis, Eric Mayson, Kathleen Hanna, Hard_R, Lydia Liza, Lizzo & Nicholas L. Perez) - Single",P.O.S,explicit,Hip-Hop,1
169,Blame It On Your Love (feat. Lizzo) [Kat Krazy Remix] - Single,Charli XCX,explicit,Pop,1
170,Blame It On Your Love (feat. Lizzo) [Dylan Brady Remix] - Single,Charli XCX,explicit,Pop,1
171,March Days,Lizzo Cyrus,notExplicit,Electronic,10
172,Ordinary Waiting,Lizzo Cyrus,notExplicit,Electronic,10
173,Blame It On Your Love (feat. Lizzo) [Back N Fourth Remix] - Single,Charli XCX,explicit,Pop,1
174,Birds of the Sky,Lizzo Cyrus,notExplicit,Electronic,10
175,Lizzo - Single,Royal Sadness,notExplicit,Electronic,1
176,Blame It on Your Love (feat. Lizzo) [Seeb & kid joki Remix] - Single,Charli XCX,explicit,Pop,1
177,Cold Shoulder (feat. Lizzo) - Single,Sean Anonymous & DJ Name,explicit,Hip-Hop/Rap,1
178,Green Edition - Tchaikovsky: Symphonies Nos. 2 & 6,Alberto Lizzo & Philharmonica Slavonica,notExplicit,Classical,8
179,Offiziell Kriminell (feat. TJay & Lizzo) - Single,Robo,notExplicit,Hip-Hop/Rap,1
180,Cannabusiness (feat. Lizzo) - Single,ZZ,explicit,Hip-Hop/Rap,1
181,Get Ya Lizzo On - Single,Lapzul,explicit,Hip-Hop/Rap,1
182,Green Edition - Tchaikovsky: Symphonies Nos. 2 & 3,Alberto Lizzo & Philharmonica Slavonica,notExplicit,Classical,9
183,Cuz I Love You (Originally By Lizzo) - Single,MarthaGunn,explicit,Alternative,1
184,The Plan - Single,King Lizzo,explicit,Hip-Hop/Rap,1
185,All Year - Single,King Lizzo,explicit,Hip-Hop/Rap,1
186,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,notExplicit,Alternative,14
187,dont smile at me,Billie Eilish,notExplicit,Alternative,9
188,bad guy - Single,Billie Eilish & Justin Bieber,notExplicit,Alternative,1
189,lovely - Single,Billie Eilish & Khalid,notExplicit,Pop,1
190,Up Next Session: Billie Eilish (Live) - Single,Billie Eilish,notExplicit,Alternative,3
191,Ocean Eyes (The Remixes) - EP,Billie Eilish,notExplicit,Alternative,4
192,bitches broken hearts - Single,Billie Eilish,explicit,Alternative,1
193,come out and play - Single,Billie Eilish,notExplicit,Alternative,1
194,Bellyache (Marian Hill Remix) - Single,Billie Eilish,notExplicit,Alternative,1
195,"WHEN I WAS OLDER (Music Inspired by the Film ""ROMA"") - Single",Billie Eilish,notExplicit,Alternative,1
196,Six Feet Under - Single,Billie Eilish,notExplicit,Alternative,1
197,MyBoi (TroyBoi Remix) - Single,Billie Eilish,notExplicit,Dance,1
198,COPYCAT (Sofi Tukker Remix) - Single,Billie Eilish,notExplicit,Alternative,1
199,&burn - Single,Billie Eilish & Vince Staples,notExplicit,Pop,1
200,Six Feet Under (The Remixes) - EP,Billie Eilish,notExplicit,Alternative,4
201,Bored - Single,Billie Eilish,notExplicit,Alternative,1
202,Piano Dreamers Cover Billie Eilish (Instrumental),Piano Dreamers,notExplicit,Instrumental,13
203,Bad Guy (Billie Eilish Cover) - Single,NoMBe,notExplicit,Alternative,1
204,Paul Lang Plays Billie Eilish,Paul Lang,notExplicit,Pop,17
205,"MCP Performs Billie Eilish: When We All Fall Asleep, Where Do We Go? (Instrumental)",Molotov Cocktail Piano,notExplicit,Instrumental,13
206,Billie Eilish - Single,Half Crispy,notExplicit,Downtempo,1
207,Billie Eilish! - Single,Lil Nagisa,explicit,Alternative,1
208,Billie Eilish - Single,Michelino,explicit,Hip-Hop/Rap,1
209,Billie Eilish - Single,love$tar,notExplicit,Rock,1
210,Billie Eilish - Single,Kevin Kazi,explicit,Hip-Hop/Rap,1
211,Billie Eilish - Single,Hellboy,notExplicit,Alternative,1
212,Billie Eilish - Single,Ortega Oficial,notExplicit,Hip-Hop/Rap,1
213,Babies Go Billie Eilish,Sweet Little Band,notExplicit,Lullabies,14
214,Idontwannabeyouanymore (Billie Eilish Cover) - Single,YARDEN,notExplicit,Pop,1
215,When the Party's over (Billie Eilish Cover) - Single,Jared & The Milll,notExplicit,Alternative,1
216,Diamonds on My Ring Is Edgier Than Billie Eilish - Single,A.S. ØNE,explicit,Hip-Hop/Rap,1
217,Billie Eilish Medley - Single,Andie Case,notExplicit,Pop,1
218,I'm Jealous of Billie Eilish - Single,Queen Moody,notExplicit,Pop,1
219,Come out and Play (Originally Performed by Billie Eilish) [Acoustic Guitar Karaoke] - Single,Sing2Guitar,notExplicit,Pop,1
220,Bad Guy (Originally Performed by Billie Eilish) - Single,Zach Maxwell,notExplicit,Pop,1
221,Bad Guy (feat. Billie Nelson) - Single,Elijah Eilish,notExplicit,Pop,1
222,Lovely - Single,Emerald B.,notExplicit,Alternative,1
223,American Teen,Khalid,explicit,R&B/Soul,15
224,Free Spirit,Khalid,notExplicit,R&B/Soul,17
225,C'est la vie,Khaled,notExplicit,North African,12
226,Suncity,Khalid,explicit,R&B/Soul,7
227,lovely - Single,Billie Eilish & Khalid,notExplicit,Pop,1
228,Khaled,Khaled,notExplicit,World,13
229,N'Ssi N'Ssi,Khaled,notExplicit,Arabic,13
230,Eastside (Acoustic) - Single,"benny blanco, Halsey & Khalid",notExplicit,Pop,1
231,Sahra,Khaled,notExplicit,Pop,17
232,OTW - Single,"Khalid, 6LACK & Ty Dolla $ign",explicit,R&B/Soul,1
233,Liberté,Khaled,notExplicit,World,18
234,Kenza,Khaled,notExplicit,Pop,15
235,Maghreb Soul: Cheb Khaled Story 1986-1990 (Enregistrements Originaux Remasterisés),Khaled,notExplicit,World,13
236,Saturday Nights REMIX - Single,Khalid & Kane Brown,explicit,R&B/Soul,1
237,Location (Remix) [feat. Lil Wayne & Kehlani] - Single,Khalid,explicit,R&B/Soul,1
238,Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty] - Single,Khalid,explicit,R&B/Soul,1
239,Love Lies (Snakehips Remix) - Single,Khalid & Normani,explicit,Soundtrack,1
240,The Mystic Revelation of Rai: Cheb Khaled and Cheikha Rimitti,Khaled & Cheikha Rimitti,notExplicit,World,14
241,C'est La Vie (Remixes),Khaled,notExplicit,World,18
242,"Cheb Khaled, Double Best, 25 titres originaux remasterisés",Khaled,notExplicit,World,25
243,Talk (REMIX) - Single,"Khalid, Megan Thee Stallion & Yo Gotti",notExplicit,R&B/Soul,1
244,Suncity,Khalid,cleaned,R&B/Soul,7
245,Right Back (feat. A Boogie wit da Hoodie) - Single,Khalid,notExplicit,R&B/Soul,1
246,"Cheb Khaled, les années Raï",Khaled,notExplicit,World,22
247,OTW - Single,"Khalid, 6LACK & Ty Dolla $ign",cleaned,R&B/Soul,1
248,Ya-Rayi,Khaled,notExplicit,World,12
249,Love Lies (Rick Ross Remix) - Single,"Khalid, Normani & Rick Ross",explicit,Pop,1
250,50 Golden Songs of Khaled,Khaled,notExplicit,World,50
251,Location (London Remix) [feat. Little Simz] - Single,Khalid,notExplicit,R&B/Soul,1
252,Reasons - Single,Khalid,notExplicit,R&B/Soul,1
253,Love Lies (Rick Ross Remix) - Single,"Khalid, Normani & Rick Ross",cleaned,Pop,1
254,Double Best: Cheb Khaled,Khaled,notExplicit,World,25
255,Location (Remix) [feat. Lil Wayne & Kehlani] - Single,Khalid,cleaned,R&B/Soul,1
256,Saturday Nights REMIX - Single,Khalid & Kane Brown,cleaned,R&B/Soul,1
257,"1, 2, 3 Soleils (Live à Bercy)","Faudel, Khaled & Rachid Taha",notExplicit,World,23
258,Thunder / Young Dumb & Broke (Medley) - Single,Imagine Dragons & Khalid,notExplicit,Alternative,1
259,"Khaled, King of Raï",Khaled,notExplicit,World,13
260,Hiya Hiya Remixes,Khaled,notExplicit,World,12
261,Talbou Maaya Rabbi,Khaled,notExplicit,Arabic,8
262,Cheb Khaled,Khaled,notExplicit,World,6
263,Young Dumb & Broke (Remix) [feat. Rae Sremmurd & Lil Yachty] - Single,Khalid,cleaned,R&B/Soul,1
264,Let's Go - Single,Khalid,cleaned,R&B/Soul,1
265,Yamina,Khaled,notExplicit,World,10
266,Ya-Rayi,Khaled,notExplicit,World,12
267,Talk (Disclosure VIP) - Single,Khalid,notExplicit,R&B/Soul,1
268,Les années raï,Khaled,notExplicit,World,22
269,Le World… Rai,Khaled,notExplicit,World,11
270,Le roi du Raï,Khaled,notExplicit,World,15
271,Khouf ngadji bahri (feat. Zahouania),Khaled,notExplicit,World,12
272,Silence (feat. Khalid) - Single,Marshmello,notExplicit,Dance,1
273,Hope World,j-hope,notExplicit,K-Pop,7
274,Agust D,Agust D,notExplicit,K-Pop,8
275,You Never Walk Alone,BTS,notExplicit,K-Pop,18
276,"화랑, Pt. 2 (Music from the Original TV Series) - Single",V & JIN,notExplicit,K-Pop,2
277,Love Yourself 結 'Answer',BTS,notExplicit,K-Pop,26
278,MAP OF THE SOUL : PERSONA,BTS,notExplicit,K-Pop,7
279,Wings,BTS,notExplicit,K-Pop,15
280,Love Yourself 承 'Her',BTS,notExplicit,K-Pop,9
281,The Most Beautiful Moment in Life: Young Forever,BTS,notExplicit,K-Pop,23
282,Love Yourself 轉 'Tear',BTS,notExplicit,K-Pop,11
283,MIC Drop (feat. Desiigner) [Steve Aoki Remix] - Single,BTS,notExplicit,K-Pop,1
284,Dark & Wild,BTS,notExplicit,K-Pop,14
285,"The Most Beautiful Moment in Life, Pt. 2",BTS,explicit,K-Pop,9
286,mono.,RM,notExplicit,K-Pop,7
287,2 Cool 4 Skool,BTS,notExplicit,K-Pop,7
288,Skool Luv Affair (Special Edition),BTS,notExplicit,K-Pop,12
289,Dream Glow (BTS World Original Soundtrack) [Pt. 1] - Single,BTS & Charli XCX,notExplicit,Soundtrack,1
290,"O!RUL8,2?",BTS,notExplicit,K-Pop,10
291,FACE YOURSELF,BTS,notExplicit,Hip-Hop/Rap,12
292,Skool Luv Affair,BTS,notExplicit,K-Pop,10
293,All Night (BTS World Original Soundtrack) [Pt. 3] - Single,BTS & Juice WRLD,notExplicit,Soundtrack,1
294,"The Most Beautiful Moment in Life, Pt. 1",BTS,notExplicit,K-Pop,9
295,Lights / Boy with Luv - Single,BTS,notExplicit,K-Pop,3
296,WAKE UP (通常盤),BTS,notExplicit,K-Pop,13
297,YOUTH,BTS,notExplicit,K-Pop,13
298,A Brand New Day (BTS World Original Soundtrack) [Pt. 2] - Single,BTS & Zara Larsson,notExplicit,Soundtrack,1
299,Come Back Home - Single,BTS,notExplicit,K-Pop,1
300,FAKE LOVE (Rocking Vibe Mix) - Single,BTS,notExplicit,K-Pop,1
301,Change - Single,RM & Wale,notExplicit,Rap,1
302,FOR YOU - Single,BTS,notExplicit,K-Pop,3
303,FAKE LOVE / Airplane pt. 2 - Single,BTS,notExplicit,Hip-Hop/Rap,3
304,I NEED U -Japanese Ver.- (通常盤) - Single,BTS,notExplicit,K-Pop,3
305,RUN‐Japanese Ver.‐【通常盤】 - Single,BTS,notExplicit,K-Pop,3
306,THE BEST OF 防弾少年団 (JAPAN EDITION),BTS,notExplicit,K-Pop,14
307,BOY IN LUV -Japanese Ver.- Single,BTS,notExplicit,K-Pop,3
308,Scrambling for Batteries,BTS,notExplicit,Dance,11
309,BTS WORLD (Original Soundtrack),Various Artists,notExplicit,Soundtrack,14
310,NO MORE DREAM -Japanese Ver.- (通常盤) - Single,BTS,notExplicit,K-Pop,3
311,Blood Sweat & Tears - Single,BTS,notExplicit,Hip-Hop/Rap,3
312,MIC Drop / DNA / Crystal Snow - Single,BTS,notExplicit,Hip-Hop/Rap,3
313,Danger -Japanese Ver.- (通常盤) - Single,BTS,notExplicit,K-Pop,3
314,Old Town Road (feat. RM of BTS) [Seoul Town Road Remix] - Single,Lil Nas X,notExplicit,Alternative,1
315,Blues In the Year One-D-One,Big Time Sarah & The BTS Express,notExplicit,Blues,13
316,Waste It on Me (feat. BTS) [Steve Aoki the Bold Tender Sneeze Remix] - Single,Steve Aoki,notExplicit,Dance,1
317,Where Do You Go? - Single,BTS & Le Vann,notExplicit,R&B/Soul,1
318,B.T.S,CFF EA,explicit,Hip-Hop/Rap,17
319,My Life - Single,BTS & Le Vann,notExplicit,R&B/Soul,1
320,Lay It On 'Em Girls,Big Time Sarah & The BTS Express,notExplicit,Blues,11
321,Waste It on Me (feat. BTS) [Cheat Codes Remix] - Single,Steve Aoki,notExplicit,Dance,1
322,Bts Piano Covers - EP,Piano Peace,notExplicit,New Age,5
323,We Love You Tecca,Lil Tecca,explicit,Hip-Hop/Rap,17
324,Ransom (Remix) - Single,Lil Tecca & Juice WRLD,explicit,Hip-Hop/Rap,1
325,Ransom - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
326,We Love You Tecca,Lil Tecca,cleaned,Hip-Hop/Rap,17
327,Ransom (Remix) - Single,Lil Tecca & Juice WRLD,cleaned,Hip-Hop/Rap,1
328,Ransom - Single,Lil Tecca,cleaned,Hip-Hop/Rap,1
329,Did It Again - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
330,Molly Girl - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
331,Did It Again - Single,Lil Tecca,cleaned,Hip-Hop/Rap,1
332,Love Me - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
333,Count Me Out - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
334,My Time - Single,Lil Tecca,explicit,Hip-Hop/Rap,1
335,Bossanova - Single,Lil Tecca,cleaned,Hip-Hop/Rap,1
336,Memories in My Head (feat. lougotcash & Lil Tecca) - Single,icyslug,explicit,Hip-Hop/Rap,1
337,Lil Tecca - Single,Royal Sadness,notExplicit,Techno,1
338,No.6 Collaborations Project,Ed Sheeran,explicit,Pop,15
339,÷ (Deluxe),Ed Sheeran,notExplicit,Pop,16
340,#NAME?,Ed Sheeran,explicit,Pop,16
341,x,Ed Sheeran,notExplicit,Pop,12
342,x (Wembley Edition),Ed Sheeran,notExplicit,Pop,24
